Ref,Name,Pos,Team,Value,Owners
461,Nathan Dyer,Midfielder,Swansea,5.2,161515
462,Leon Britton,Midfielder,Swansea,4.4,2317
463,Pablo Hernandez,Midfielder,Swansea,6,1160
464,Alex Pozuelo,Midfielder,Swansea,4.5,63
465,Jonjo Shelvey,Midfielder,Swansea,5.2,109140
466,Miguel Michu,Midfielder,Swansea,7.5,126
467,Jose Canas,Midfielder,Swansea,4.4,2261
468,Lee Lucas,Midfielder,Swansea,4.5,2662
469,Jay Fulton,Midfielder,Swansea,4.4,563
470,Adam King,Midfielder,Swansea,4.3,3294
471,Ki Sungyueng,Midfielder,Swansea,5.1,217992
472,Wilfried Bony,Forward,Man City,8.1,131854
473,Rory Donnelly,Forward,Swansea,4.4,973
474,Bafetimbi Gomis,Forward,Swansea,6.5,18514
475,Marvin Emnes,Forward,Swansea,4.9,709
476,Boaz Myhill,Goalkeeper,West Brom,4.1,479407
477,Ben Foster,Goalkeeper,West Brom,4.5,136474
478,Jonas Olsson,Defender,West Brom,4.6,5213
479,Gareth McAuley,Defender,West Brom,4.7,10999
480,Craig Dawson,Defender,West Brom,4.5,129097
481,Liam ONeil,Defender,West Brom,3.9,10200
482,Donervon Daniels,Defender,West Brom,3.9,2955
483,Joleon Lescott,Defender,West Brom,5.1,128959
484,Chris Baird,Defender,West Brom,3.8,90156
485,Sebastien Pocognoli,Defender,West Brom,4.1,6992
486,Stephane Sessegnon,Midfielder,West Brom,5.4,9299
487,George Thorne,Midfielder,West Brom,4.5,55
488,Graham Dorrans,Midfielder,West Brom,4.7,11269
489,Craig Gardner,Midfielder,West Brom,5.5,4201
490,James Morrison,Midfielder,West Brom,5.5,1945
491,Youssuf Mulumbu,Midfielder,West Brom,4.6,4207
492,Chris Brunt,Midfielder,West Brom,5.2,27295
493,Claudio Yacob,Midfielder,West Brom,4.4,7622
494,Kemar Roofe,Midfielder,West Brom,4.4,1682
